N,tau,block,pick,n_adm,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,vs_SPY,vs_v2
10,0.95,44,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.95,45,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,0.95,46,TOP20/g200-dg,12,1.1174447008000923,0.15682566417148802,1.1718923326214017,-0.1951371566506186,0.2898815654391175,-0.1131800305850803
10,0.95,47,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
10,1.0,0,TOPALL/ebud-0.10,15,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,1,TOP20/g200-dg,12,1.1174447008000923,0.15682566417148802,1.1718923326214017,-0.1951371566506186,0.2898815654391175,-0.1131800305850803
10,1.0,2,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,3,TOPALL/ebud-0.10,12,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,4,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,5,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,6,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,7,TOPALL/ebud-0.10,13,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,8,TOP20/band3-dg,11,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
10,1.0,9,TOPALL/ebud-0.10,13,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,10,TOPALL/ebud-0.10,15,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,11,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,12,TOPALL/ebud-0.10,14,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,13,TOP20/ebud-0.10,11,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,14,TOP20/ebud-0.10,13,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,15,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,16,TOPALL/ebud-0.10,13,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,17,TOPALL/ebud-0.10,17,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,18,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
10,1.0,19,TOP20/g200-rw,13,1.1234029093966,0.1574376712965142,1.1707203858269182,-0.19388801037374837,0.28870961864463396,-0.11435197737956382
10,1.0,20,TOP20/band3-rw,12,1.1219997903269876,0.15990079308944227,1.1829307821778465,-0.19913660436475633,0.3009200149955623,-0.10214158102863546
10,1.0,21,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,22,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,23,TOPALL/band3-dg,10,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
10,1.0,24,TOP20/ebud-0.10,11,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,25,TOP20/ebud-0.10,13,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,26,TOP20/g200-rw,12,1.1234029093966,0.1574376712965142,1.1707203858269182,-0.19388801037374837,0.28870961864463396,-0.11435197737956382
10,1.0,27,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
10,1.0,28,TOPALL/ebud-0.10,14,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,29,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,30,TOPALL/ebud-0.10,13,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,31,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
10,1.0,32,TOP20/band3-dg,12,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
10,1.0,33,TOP20/ebud-0.10,13,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,34,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,35,TOPALL/ebud-0.10,13,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,36,TOPALL/band3-dg,12,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
10,1.0,37,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,38,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,39,TOP20/band3-dg,12,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
10,1.0,40,TOP20/band3-dg,14,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
10,1.0,41,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
10,1.0,42,TOPALL/ebud-0.10,15,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
10,1.0,43,TOP20/band3-dg,15,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
10,1.0,44,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,45,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
10,1.0,46,TOP20/g200-dg,12,1.1174447008000923,0.15682566417148802,1.1718923326214017,-0.1951371566506186,0.2898815654391175,-0.1131800305850803
10,1.0,47,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,0.8,0,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,1,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,2,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,3,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,4,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,5,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,6,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,7,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,8,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,9,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,10,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,11,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,12,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,13,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,14,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,15,TOPALL/ebud-0.10,15,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.8,16,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,17,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,18,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,19,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,20,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,21,TOP20/ebud-0.10,20,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,22,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.8,23,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,0,TOPALL/ebud-0.10,16,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.9,1,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,2,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,3,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,4,TOPALL/ebud-0.10,15,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.9,5,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,6,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,7,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,8,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,9,TOP20/g200-dg,13,1.1174447008000923,0.15682566417148802,1.1718923326214017,-0.1951371566506186,0.2898815654391175,-0.1131800305850803
20,0.9,10,TOP20/ebud-0.10,13,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,11,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,12,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,13,TOPALL/ebud-0.10,16,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.9,14,TOPALL/ebud-0.10,16,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.9,15,TOP20/band3-dg,13,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
20,0.9,16,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,17,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,18,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,19,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,20,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,21,TOPALL/ebud-0.10,17,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.9,22,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.9,23,TOP20/ebud-0.10,13,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,0,TOPALL/ebud-0.10,15,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.95,1,TOP20/ebud-0.10,14,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,2,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,3,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,4,TOPALL/ebud-0.10,15,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.95,5,TOPALL/ebud-0.10,14,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.95,6,TOP20/ebud-0.10,13,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,7,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,8,TOPALL/ebud-0.10,15,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.95,9,TOP20/g200-dg,12,1.1174447008000923,0.15682566417148802,1.1718923326214017,-0.1951371566506186,0.2898815654391175,-0.1131800305850803
20,0.95,10,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,11,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,12,TOP20/ebud-0.10,13,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,13,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,0.95,14,TOPALL/ebud-0.10,14,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.95,15,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,0.95,16,TOP20/band3-dg,13,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
20,0.95,17,TOPALL/ebud-0.10,13,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.95,18,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,19,TOP20/band3-dg,13,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
20,0.95,20,TOP20/band3-dg,13,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
20,0.95,21,TOPALL/ebud-0.10,16,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,0.95,22,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,0.95,23,TOP20/g200-dg,12,1.1174447008000923,0.15682566417148802,1.1718923326214017,-0.1951371566506186,0.2898815654391175,-0.1131800305850803
20,1.0,0,TOP20/g200-dg,12,1.1174447008000923,0.15682566417148802,1.1718923326214017,-0.1951371566506186,0.2898815654391175,-0.1131800305850803
20,1.0,1,TOPALL/ebud-0.10,12,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,1.0,2,TOP20/ebud-0.10,13,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,1.0,3,TOPALL/band3-dg,12,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,4,TOPALL/band3-dg,9,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,5,TOPALL/ebud-0.10,13,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,1.0,6,TOPALL/band3-dg,10,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,7,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,1.0,8,TOPALL/ebud-0.10,13,1.1412793901382505,0.13670798592594147,1.1262563600145372,-0.22525890511540758,0.244245592832253,-0.15881600319194478
20,1.0,9,TOPALL/band3-dg,10,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,10,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,11,TOPALL/band3-dg,10,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,12,TOP20/ebud-0.10,11,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,1.0,13,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,14,TOPALL/band3-dg,10,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,15,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,16,TOP20/band3-dg,11,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
20,1.0,17,TOP20/band3-dg,10,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
20,1.0,18,TOPALL/band3-dg,12,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,19,TOP20/band3-dg,12,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
20,1.0,20,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
20,1.0,21,TOP20/band3-dg,13,1.1227106309198538,0.15998008930537622,1.188571734487914,-0.19756115427005028,0.3065609673056299,-0.0965006287185679
20,1.0,22,TOP20/ebud-0.10,12,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
20,1.0,23,TOPALL/band3-dg,11,1.1102350237879473,0.09567212016891835,1.286283102855161,-0.12054942313126815,0.4042723356728767,0.0012107396486789046
40,0.8,0,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,1,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,2,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,3,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,4,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,5,TOP20/ebud-0.10,19,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,6,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,7,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,8,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,9,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,10,TOP20/ebud-0.10,18,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.8,11,TOP20/ebud-0.10,17,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.9,0,TOP20/ebud-0.10,16,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
40,0.9,1,TOP20/ebud-0.10,15,1.1556992152616172,0.1663931243916399,1.198851730596946,-0.20486389899023194,0.3168409634146617,-0.08622063260953605
